edge_1based,curl_mode_1,curl_mode_2,curl_mode_3,curl_mode_4,curl_mode_5,curl_mode_6,curl_mode_7,curl_mode_8,curl_mode_9,curl_mode_10,curl_mode_11,curl_mode_12
1,0.020932649409763374,0.24244542949616329,0.00488432614607594,0.24255209028618741,0.062398166450842812,-0,0.0063464518052859104,0.032025915957012804,0.026807921065683717,0.027467912218287375,0.1099781217492337,0.00011126790732154723
2,0.01145208975398861,0.036621805303642105,-0.025750220376426131,0.032773501296865487,-0.18048487806455277,-9.4916819978719346e-17,-0.038117803649060769,-0.01535804011440621,0.063745247249541254,-0.060215902001030559,-0.23602209314983907,0.00014506776086491244
3,0.025028726848847802,0.15603816107779384,-0.0056691603509351398,-0.22857751303981128,0.049365216837500357,1.0571261261631455e-16,0.015564791577796486,-0.0040832455106824313,-0.048688370528719702,0.0021841839017841883,0.022685367983478866,-0.00020785263899425206
4,-0.018789662479911578,-0.097425662554806669,0.064625349797699044,-0.0073069089220373779,-0.12119223672568506,3.3378457876214376e-16,0.031188750258659987,0.047563786367514141,0.058025029554839645,-0.036027734052397675,0.1084502812737618,-3.3114432910442623e-05
5,-0.02901420588882072,-0.22228221869563813,-0.010645211696875918,-0.02586990432653051,0.21725708512043668,1.841363929455463e-16,0.04608220829956327,0.032244816633163004,0.013753089442879562,-0.010051833212099681,-0.040056804530829729,1.422682936752062e-05
6,-0.0096095976438687544,-0.11539751462715453,-0.027445083519538453,-0.01357126529467384,-0.027343353618542541,-2.4245463318684086e-16,-0.0610643982922447,-0.092393233332601479,-0.11364291678422436,0.076643373145456078,0.034965126674194519,-2.9595425648951948e-05
7,-0.0058033075542238549,0.070696111768886877,-0.025528102902654379,0.00045105652163887622,-0.023515268495605368,-4.7806489328905777e-17,-0.0052330129530140084,0.070940686543912237,0.093310747459772886,0.1765881731635825,0.11971049290398211,-0.00020611323840018041
8,0.01154489038195744,0.068735450590168168,0.064880398004213011,0.18921190240506561,0.1805428554113932,-1.2176962980907044e-16,0.051690879141843407,-0.024390107633741581,-0.098648218225801235,-0.032250084813772978,-0.065968647418587378,-0.00028092315335822952
9,0.0038988746469848096,-0.043872975219406696,-0.0062558920429038427,-0.052936633458008753,-0.027960359371856466,5.86022819665011e-17,-0.00052164999617103879,0.015553191359946025,0.027717467990659696,-0.11344550516849844,0.22372866725523741,0.0008198627306661016
10,0.0043785395973513289,0.027649645466646694,-0.00063859441429957135,0.11318059304650979,0.0048647423402203641,1.3600086727777345e-16,-0.034497196262977252,-0.0088077665713190006,-0.00038952206719580773,-0.047298990222187906,-0.14793670942418083,9.1014692597355708e-05
11,0.0069136523376935738,0.11923719688986714,-0.027573482498279497,-0.0073548282290183953,-0.071533803433309076,3.2894592849158237e-16,-0.0050925681243951422,-0.021270087741785026,0.0048174459082481469,0.04387431925916413,-0.0195556815672174,-0.00031257312418327479
12,0.014817066811738125,0.16385454179807757,-0.16918299891711958,-0.040510462509132941,-0.12285650695087884,-6.2828134807168048e-17,0.016776697152627723,-0.024847858045193044,-0.0569078264250205,0.0061223251872982026,-0.032239269153595693,7.7281032591313553e-05
13,0.013686189716783384,-0.071564012553842954,0.022961143260299459,0.044965946816273694,-0.050304307031364584,3.3149724211621884e-17,-0.0011021851926896753,0.026102695593711658,0.071214460556449366,-0.029667495608200381,0.18872248698294491,-0.00033030973735687086
14,0.0096128184184507484,-0.12846148256032702,0.026698584298739766,-0.087327778639051487,0.083038088506784014,2.1611385708609488e-16,-0.0089052631052711426,-0.018714528264412639,0.074193814512588149,0.1365579922121718,-0.21253177309184726,0.00018759326976050539
15,0.0092911681845701394,-0.14303558411801165,0.030653512344367244,0.081403510677127838,-0.10115356763292491,-3.0753878978146057e-16,-0.021169949202730003,0.020359066378607946,0.0024433694485814367,0.038271504236761268,0.054258440528848047,-3.451864662208648e-05
16,-0.028034373022576439,0.11072877380445398,0.13991779726964187,0.00010188339287427184,0.067621566218548715,-2.8212186901668369e-16,-0.0091022935987391355,-0.019201789252913815,0.026294897341626419,0.0060369658030332354,-0.025856224147193425,2.8842752586716314e-05
