subspace,positive_modes_Q,selected_zero_based_indices,selected_one_based_ranks
curl,153,0 14 28 41 55 69 83 97 111 124 138 152,1 15 29 42 56 70 84 98 112 125 139 153
gradient,63,0 6 11 17 23 28 34 39 45 51 56 62,1 7 12 18 24 29 35 40 46 52 57 63
