triangle_1based,i_1based,j_1based,k_1based,channel_i,channel_j,channel_k
169,43,52,53,FT8,T8,TP8
170,44,51,52,FC6,C6,T8
171,45,46,49,FC4,FC2,C2
172,45,46,50,FC4,FC2,C4
173,45,49,50,FC4,C2,C4
174,46,47,48,FC2,FCz,Cz
175,46,48,49,FC2,Cz,C2
176,46,49,50,FC2,C2,C4
177,48,49,56,Cz,C2,CP2
178,49,50,55,C2,C4,CP4
179,49,50,56,C2,C4,CP2
180,49,55,56,C2,CP4,CP2
181,50,55,56,C4,CP4,CP2
182,51,52,53,C6,T8,TP8
183,51,52,54,C6,T8,CP6
184,51,53,54,C6,TP8,CP6
185,52,53,54,T8,TP8,CP6
186,52,53,61,T8,TP8,P10
187,53,54,59,TP8,CP6,P6
188,53,54,60,TP8,CP6,P8
189,53,59,60,TP8,P6,P8
190,53,59,61,TP8,P6,P10
191,53,60,61,TP8,P8,P10
192,54,55,58,CP6,CP4,P4
193,54,55,59,CP6,CP4,P6
194,54,58,59,CP6,P4,P6
195,54,59,60,CP6,P6,P8
196,55,56,57,CP4,CP2,P2
197,55,56,58,CP4,CP2,P4
198,55,57,58,CP4,P2,P4
199,55,58,59,CP4,P4,P6
200,56,57,58,CP2,P2,P4
201,57,58,63,P2,P4,PO4
202,58,59,62,P4,P6,PO8
203,58,59,63,P4,P6,PO4
204,58,62,63,P4,PO8,PO4
205,59,60,61,P6,P8,P10
206,59,60,62,P6,P8,PO8
207,59,60,63,P6,P8,PO4
208,59,61,62,P6,P10,PO8
209,59,61,64,P6,P10,O2
210,59,62,63,P6,PO8,PO4
211,59,62,64,P6,PO8,O2
212,59,63,64,P6,PO4,O2
213,60,61,62,P8,P10,PO8
214,60,62,63,P8,PO8,PO4
215,61,62,64,P10,PO8,O2
216,62,63,64,PO8,PO4,O2
