node_1based,channel,x,y,z
1,Fp1,-0.029338730499148369,0.090295329689979553,0.036833282560110092
2,AF7,-0.05580558255314827,0.076809793710708618,0.036833282560110092
3,AF3,-0.038593441247940063,0.082763902842998505,0.066334284842014313
4,F1,-0.027261704206466675,0.067475080490112305,0.10121355950832367
5,F3,-0.051775708794593811,0.063937671482563019,0.087648734450340271
6,F5,-0.069254383444786072,0.060201913118362427,0.064736545085906982
7,F7,-0.076809793710708618,0.05580558255314827,0.036833282560110092
8,FT7,-0.090295329689979553,0.029338730499148369,0.036833282560110092
9,FC5,-0.084349334239959717,0.032378677278757095,0.069505348801612854
10,FC3,-0.06425582617521286,0.034165427088737488,0.10121355950832367
11,FC1,-0.035597402602434158,0.035597402602434158,0.12071330100297928
12,C1,-0.037119455635547638,-2.2729111707415709e-18,0.12759669125080109
13,C3,-0.068337284028530121,-4.1844515336867944e-18,0.10614127665758133
14,C5,-0.088690139353275299,-5.4307050056163374e-18,0.074193693697452545
15,T7,-0.094942130148410797,-5.8135287425992476e-18,0.036833282560110092
16,TP7,-0.090295329689979553,-0.029338730499148369,0.036833282560110092
17,CP5,-0.084349334239959717,-0.032378677278757095,0.069505348801612854
18,CP3,-0.06425582617521286,-0.034165427088737488,0.10121355950832367
19,CP1,-0.035597402602434158,-0.035597402602434158,0.12071330100297928
20,P1,-0.027261704206466675,-0.067475080490112305,0.10121355950832367
21,P3,-0.051775708794593811,-0.063937671482563019,0.087648734450340271
22,P5,-0.069254383444786072,-0.060201913118362427,0.064736545085906982
23,P7,-0.076809793710708618,-0.05580558255314827,0.036833282560110092
24,P9,-0.069655746221542358,-0.050607863813638687,0
25,PO7,-0.05580558255314827,-0.076809793710708618,0.036833282560110092
26,PO3,-0.038593441247940063,-0.082763902842998505,0.066334284842014313
27,O1,-0.029338730499148369,-0.090295329689979553,0.036833282560110092
28,Iz,5.2720579679832608e-18,-0.086099237203598022,0
29,Oz,5.8135287425992476e-18,-0.094942130148410797,0.036833282560110092
30,POz,5.4307050056163374e-18,-0.088690139353275299,0.074193693697452545
31,Pz,4.1844515336867944e-18,-0.068337284028530121,0.10614127665758133
32,CPz,2.2729111707415709e-18,-0.037119455635547638,0.12759669125080109
33,Fpz,5.8135287425992476e-18,0.094942130148410797,0.036833282560110092
34,Fp2,0.029338730499148369,0.090295329689979553,0.036833282560110092
35,AF8,0.05580558255314827,0.076809793710708618,0.036833282560110092
36,AF4,0.038593441247940063,0.082763902842998505,0.066334284842014313
37,AFz,5.4307050056163374e-18,0.088690139353275299,0.074193693697452545
38,Fz,4.1844515336867944e-18,0.068337284028530121,0.10614127665758133
39,F2,0.027261704206466675,0.067475080490112305,0.10121355950832367
40,F4,0.051775708794593811,0.063937671482563019,0.087648734450340271
41,F6,0.069254383444786072,0.060201913118362427,0.064736545085906982
42,F8,0.076809793710708618,0.05580558255314827,0.036833282560110092
43,FT8,0.090295329689979553,0.029338730499148369,0.036833282560110092
44,FC6,0.084349334239959717,0.032378677278757095,0.069505348801612854
45,FC4,0.06425582617521286,0.034165427088737488,0.10121355950832367
46,FC2,0.035597402602434158,0.035597402602434158,0.12071330100297928
47,FCz,2.2729111707415709e-18,0.037119455635547638,0.12759669125080109
48,Cz,0,0,0.13514873385429382
49,C2,0.037119455635547638,2.2729111707415709e-18,0.12759669125080109
50,C4,0.068337284028530121,4.1844515336867944e-18,0.10614127665758133
51,C6,0.088690139353275299,5.4307050056163374e-18,0.074193693697452545
52,T8,0.094942130148410797,5.8135287425992476e-18,0.036833282560110092
53,TP8,0.090295329689979553,-0.029338730499148369,0.036833282560110092
54,CP6,0.084349334239959717,-0.032378677278757095,0.069505348801612854
55,CP4,0.06425582617521286,-0.034165427088737488,0.10121355950832367
56,CP2,0.035597402602434158,-0.035597402602434158,0.12071330100297928
57,P2,0.027261704206466675,-0.067475080490112305,0.10121355950832367
58,P4,0.051775708794593811,-0.063937671482563019,0.087648734450340271
59,P6,0.069254383444786072,-0.060201913118362427,0.064736545085906982
60,P8,0.076809793710708618,-0.05580558255314827,0.036833282560110092
61,P10,0.069655746221542358,-0.050607863813638687,0
62,PO8,0.05580558255314827,-0.076809793710708618,0.036833282560110092
63,PO4,0.038593441247940063,-0.082763902842998505,0.066334284842014313
64,O2,0.029338730499148369,-0.090295329689979553,0.036833282560110092
