edge_1based,gradient_mode_1,gradient_mode_2,gradient_mode_3,gradient_mode_4,gradient_mode_5,gradient_mode_6,gradient_mode_7,gradient_mode_8,gradient_mode_9,gradient_mode_10,gradient_mode_11,gradient_mode_12
1,-0.12511432411138693,-0.0089835378453324566,-0.047280469080815755,-0.033621185778225447,0.043144058084377435,-0.19997299521318568,-0.13116553916094034,-0.01545610361597222,0.021226937334114696,0.019641524490522144,0.067836201064224055,-0.0015401575455523627
2,-0.054246110736543951,0.050268802788815535,-0.058318356421062846,-0.083618484104420937,0.038610475268953587,-0.096226938066445611,-0.057071260193347711,-0.031687632092121901,-0.14623977389216242,0.054334683627238971,-0.0014732393625612183,-0.0018151767596535189
3,-0.14012027119507331,0.035988115109541419,-0.056336635619413586,-0.083085036633552517,0.016604936939461058,-0.082898413776460123,-0.037419765869706585,-0.023683431541310442,-0.21791856877707466,-0.0099224483822716453,0.15979585338140584,0.0004118402600005993
4,0.08997600402147643,0.026853936776412551,-0.0041085117487312806,-0.13000625001344621,-0.061686231364731184,-0.1019009657995571,-0.079614132531675222,-0.002733124580451691,-0.051029126084251086,0.024391658386434721,0.058972599260547764,-0.00016794498969024615
5,0.12528992167002001,0.033573355923630366,-0.011387042039190151,-0.1308695268287719,0.14548460913578479,-0.093913585176301384,-0.088694238917323573,-0.027167955908365491,-0.091933248386554756,0.022244132113987267,0.079243945099303381,-0.00095154406842933373
6,0.058270415650946206,0.11634475978041188,-0.072539868976892241,-0.090931874923287276,0.11226839699118055,-0.11563552057193513,-0.067348685263398766,0.016025990040446775,-0.041875095415262194,-0.017590371419742592,-0.030638124340146372,0.0019599044761670764
7,0.070868213374843392,0.059252340634148123,-0.01103788734024716,-0.049997298326195913,-0.0045335828154240039,0.10374605714674021,0.074094278967592214,-0.016231528476149573,-0.16746671122627724,0.034693159136717111,-0.069309440426785301,-0.00027501921410097441
8,-0.0032669275654772512,0.12477766892356107,-0.041042841062492216,-0.070959126223757815,0.0015853849309162421,0.071056461674241692,0.052666581840591739,-0.033319644690998809,-0.12157159720047772,-0.051664134211988566,-0.15386510360452757,0.0054169290740749415
9,-0.015005947083686022,0.04497165295487382,-0.0090561665385978374,-0.049463850855327118,-0.026539121144916439,0.11707458143672572,0.093745773291233458,-0.0082273279253381529,-0.23914550611118918,-0.029563972872793727,0.091959652317181922,0.0019519978055526355
10,-0.03427371611640842,0.013842526033282666,-0.026753882278523239,-0.14678922200183725,0.080158525812227752,0.21208662921145141,0.12156778829743056,-0.005296165992469716,-0.028035571033795004,-0.039929923077373808,-0.022462837311361755,0.0019375982202601838
11,-0.12286101764032992,0.024442066879962497,0.011419015474842094,-0.059577040572111037,-0.0059701033121811811,0.05994760414372774,0.077026473517822505,0.090399367862149638,-0.13926708509544261,0.01161541825497725,-0.12299683694756899,0.0041931048629998413
12,0.0079312537887781115,0.19071074350210751,-0.043254422462596705,0.0048903935003725835,0.024241915451546747,-0.047053641078496827,-0.017020382989357648,0.050220889861757781,0.14700663212695544,-0.0097012333455024358,0.12284348662101796,0.00013269441281332783
13,-0.074135140940321892,0.065525328289413098,-0.030004953722245049,-0.020961827897562225,0.0061189677463400899,-0.032689595472498598,-0.021427697127000669,-0.017088116214849229,0.045895114025799461,-0.086357293348705372,-0.084555663177742213,0.0056919482881754302
14,-0.085874160458529858,-0.014280687679273832,0.0019817208016492949,0.00053344747086871147,-0.022005538329492265,0.013328524289985433,0.019651494323641321,0.0080042005508112139,-0.071678794884911953,-0.064257132009510554,0.16126909274396728,0.0022270170196543315
15,-0.1051419294912514,-0.045409814600865545,-0.015715994938276148,-0.096791923675641434,0.084692108627651988,0.10834057206471112,0.047473509329838515,0.010935362483679819,0.13943114019248232,-0.074623082214090738,0.046846603115423768,0.0022126174343610749
16,0.14422211475802063,-0.023414866012403113,0.054209844672331656,-0.046387765909024915,-0.10029670663368445,-0.0056740277331114863,-0.022542872338327184,0.028954507511669968,0.095210647807911622,-0.029943025240804375,0.060445838623109177,0.00164723176996312
17,0.1125165263874907,0.066075956991596352,-0.014221512555829319,-0.0073133908188660404,0.073657921722227113,-0.019408582505489519,-0.010277425070050736,0.047713622132568481,0.10436467847690037,-0.071925055046981767,-0.02916488497758507,0.0037750812358202934
18,-0.082066394729099879,-0.12518541521269486,0.013249468740351593,-0.025852221397934725,-0.018122947705206581,0.014364045605998077,-0.0044073141376429481,-0.067309006076607059,-0.10111151810115604,-0.076656060003202992,-0.20739914979876023,0.0055592538753621024
